2015-09-24 11:32:29;new chat started;101038712
2015-09-24 11:39:26;new chat started;101038712
2015-09-24 11:40:27;new chat started;101038712
2015-09-24 11:41:41;wrong command sent;101038712
2015-09-24 11:47:00;new chat started;101038712
2015-09-24 11:51:30;new chat started;101038712
2015-09-24 11:52:34;new chat started;101038712
2015-09-24 11:54:07;new chat started;101038712
2015-09-24 11:55:27;new chat started;101038712
2015-09-24 11:59:24;new chat started;101038712
2015-09-24 12:00:24;new chat started;101038712
2015-09-24 12:27:28;location command sent;101038712
2015-09-24 13:18:48;location command sent;101038712
2015-09-24 13:18:50;location command sent;101038712
2015-09-24 13:23:49;location command sent;101038712
2015-09-24 13:24:41;location command sent;101038712
2015-09-24 13:25:35;location command sent;101038712
2015-09-24 13:26:22;location command sent;101038712
2015-09-24 13:26:51;location command sent;101038712
2015-09-24 13:28:54;location command sent;101038712
2015-09-24 13:32:51;wrong command sent;101038712
2015-09-24 13:34:13;wrong command sent;101038712
2015-09-24 13:35:12;wrong command sent;101038712
2015-09-24 13:38:26;wrong command sent;101038712
2015-09-24 13:40:06;wrong command sent;101038712
2015-09-24 13:40:56;wrong command sent;101038712
2015-09-24 13:45:32;wrong command sent;101038712
2015-09-24 13:46:03;wrong command sent;101038712
2015-09-24 13:46:43;wrong command sent;101038712
2015-09-24 13:48:55;wrong command sent;101038712
2015-09-24 13:52:31;wrong command sent;101038712
2015-09-24 13:52:33;wrong command sent;101038712
2015-09-24 13:53:25;wrong command sent;101038712
2015-09-24 13:55:40;wrong command sent;101038712
2015-09-24 13:56:21;wrong command sent;101038712
2015-09-24 13:56:44;wrong command sent;101038712
2015-09-24 13:57:59;wrong command sent;101038712
2015-09-24 14:01:21;wrong command sent;101038712
2015-09-24 14:02:13;wrong command sent;101038712
2015-09-24 14:04:32;wrong command sent;101038712
2015-09-24 14:05:05;wrong command sent;101038712
2015-09-24 14:05:36;wrong command sent;101038712
2015-09-24 14:09:39;wrong command sent;101038712
2015-09-24 14:09:40;wrong command sent;101038712
2015-09-24 14:10:23;wrong command sent;101038712
2015-09-24 14:15:55;wrong command sent;101038712
2015-09-24 14:15:58;wrong command sent;101038712
2015-09-24 14:16:01;wrong command sent;101038712
2015-09-24 14:16:25;wrong command sent;101038712
2015-09-24 14:20:19;wrong command sent;101038712
2015-09-24 14:23:47;wrong command sent;101038712
2015-09-24 14:26:15;wrong command sent;101038712
2015-09-24 14:27:15;wrong command sent;101038712
2015-09-24 14:37:10;wrong command sent;101038712
